tag,frequency,source_examples
rock,79680,rock; pop rock; soft rock; rock n roll; folk rock
metal,31660,metal; metalcore; progressive metal; power metal; nu-metal
alternative,31601,alternative; alternative metal; alternative punk; alternative pop; alternative rap
pop,30121,pop; power pop; synth pop; powerpop; art pop
electronic,12754,electronic; electronic rock; eletronic; indie electronic; electronic pop
hip-hop,11895,hip-hop / rap; hip-hop; trip-hop; underground hip-hop; real hip-hop
punk,11738,punk; pop-punk; ska punk; post punk; skate punk
dance,11177,dance; dance pop; romance; danceable; dance rock
hard rock,10725,hard rock; hard; classic hard rock; 90s hard rock; 80s hard rock
indie,10550,indie; indietronica; indie folk; indiepop; indie-rock
alternative rock,9831,alternative rock; 90s alternative rock
chill,9786,chill; chill out; chilled; childhood; aitchchill
soul,9738,soul; r&b / soul; soulful; neo-soul; neo soul
jazz,9351,jazz; jazzy; smooth jazz; acid jazz; nu jazz
classic rock,9141,classic rock; classic; classics; classy; classic track
emo,8432,emo; memories; emotional; emocore; emotion
funk,8222,fun; funk; funky; funny; metro funky
singer-songwriter,7974,singer-songwriter; singer / songwriter; singer songwriter; songwriter; singer-songwriters
country,7260,country; alt-country; country rock; modern country; classic country
soundtrack,6603,soundtrack; soundtracks; movie soundtrack; zaplovedtracks; lovedtrack
rap,6491,rap; gangsta rap; east coast rap; rapcore; trap
hip hop,6443,hip hop; hiphop; underground hip hop; true hip hop; east coast hip hop
blues,6429,blues; blues rock; rhythm and blues; blues-rock; blue
heavy metal,6050,heavy metal; heavy; classic heavy metal; 90s heavy metal; 80s heavy metal
hardcore,5830,hardcore; hardcore punk; post hardcore; melodic hardcore; grindcore
indie rock,5755,indie rock
electro,5743,electro; electropop; electro pop; electro-pop; electroclash
death metal,5678,death metal; melodic death metal; death; brutal death metal; technical death metal
progressive rock,5545,progressive rock; progressive; aggressive; depressive; progressive deathcore
experimental,5373,experimental; experimental rock; sentimental; experimental metal; experimental hip hop
latin,5087,latin; latin pop; latin rock; latino; rock latino
psychedelic,4979,psychedelic; psychedelic rock; psychedelic pop; neo-psychedelia; psychedelia
melancholic,4914,melancholy; melancholic; melancholia; melancholie; nieco melancholicke
chillout,4848,chillout; sellout; chillout tracy
folk,4756,folk; folk pop; folktronica; freak folk; contemporary folk
instrumental,4573,instrumental; instrumental rock; instrumental hip-hop; instrumental hip hop; instrumentals
relaxing,4468,relax; relaxing; relaxed; relaxation; relaxing mood
acoustic,4319,acoustic; acoustic rock; acoustic guitar; acoustic rhythm guitars; acoustic rhythm piano
ambient,4210,ambient; dark ambient; ambient techno; ambient pop; ambience
new wave,4046,new wave; new; new york; new york city; new rave
sad,3657,sad; sad songs; sadness; sadcore; sad song
electronica,3606,electronica; electronica influences; electronica / dance; electronica dance; eletronica
downtempo,3604,downtempo; metro downtempo; uptempo; down tempo; midtempo
happy,3440,happy; makes me happy; happiness; 123 drippy sappy; happy songs
dream pop,3279,dreamy; dream pop; dream; dreams; dreaming
thrash metal,3100,thrash metal; thrash; old school thrash metal; mendigao thrash; bay area thrash metal
punk rock,3044,punk rock; gwds punk rock; folk punk rock
grunge,2961,grunge; post-grunge; post grunge; grunge rock; post- grunge
rnb,2845,rnb; contemporary rnb; 90s rnb; modern rnb; rnb number ones
indie pop,2737,indie pop
dark,2583,dark; darkwave; dark wave; darkness; dark cabaret
industrial,2580,industrial; industrial metal; industrial rock; electro-industrial; post-industrial
classical,2467,classical; contemporary classical; neoclassical; musical; modern classical
energetic,2375,energetic; energy; high energy; energizer; nocna energia
synthpop,2299,synthpop; synth; synthesizer; minimal synth; synthesizers
house,2220,house; deep house; progressive house; tech house; french house
gothic,2209,gothic; gothic metal; gothic rock; goth; gothenburg
nostalgic,2166,nostalgia; nostalgic; moja nostalgia
post-hardcore,2129,post-hardcore; post-nerdcore; progressive post-hardcore; real post-hardcore
trip hop,1857,trip hop; road trip; triphop; roadtrip; trip
disco,1777,disco; rakt over disc; discoverockult; nu disco; dischord
drum and bass,1740,bass; drum and bass; drum n bass; drum & bass; drum
britpop,1728,britpop; brit; britney spears; britney; britannique
screamo,1577,screamo; scream; screaming; not screamo; awesome screaming
pop punk,1535,pop punk
trance,1513,trance; france; trancecore; psytrance; progressive trance
reggae,1494,reggae; reggaeton; roots reggae; reggae fusion; reggae rock
garage rock,1469,garage rock; garage; garage rock revival; uk garage; future garage
r&b,1402,r&b
post-punk,1391,post-punk; post-punk revival
nu metal,1357,nu metal
techno,1277,techno; minimal techno; frauen und technik; acid techno; immortal technique
angry,1056,angry; im not angry; angry songs; angry music
shoegaze,872,shoegaze; shoegazer; shoegazefan; shoegazing; shoegazing goodness
club,761,club; halftoned singles club; baltimore music club; bobbyscdclub; club music
lo-fi,758,lo-fi
dance-pop,466,dance-pop
dubstep,436,dubstep
funk metal,229,funk metal
rap rock,194,rap rock
rap metal,182,rap metal
afrobeat,53,afrobeat
