cache_file,session_id,turn_number,gemini_pseudo_rank,gemini_track_name,gemini_artist_name,gemini_album_name,gemini_tag_list,gemini_release_date,catalog_similarity_rank,cosine_similarity,catalog_track_id,catalog_track_name,catalog_artist_name,catalog_album_name,catalog_tag_list,catalog_release_date
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,1,0.9512331485748291,467da51f-deb6-480e-bc2d-807e15d49f78,One of My Kind,Conor Oberst and the Mystic Valley Band,One of My Kind,"indie folk, beautiful, one hit wonder, addictive, cap, lyrical genius, a long red glare, indie, melancholy, Rock, melancholic",2012-05-15
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,2,0.9492411017417908,befbf90b-d6b9-4910-ad34-22aa40a2d747,Broken Tongue,Joshua James,My Spirit Sister,"folk, americana, music for a sad road movie, singer-songwriter, personal--loved, folk rock, Alternative, Singer/Songwriter",2017-04-07
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,3,0.94773930311203,2682cace-403d-4437-8343-3075c08637d0,Try,Dear and the Headlights,Drunk Like Bible Times,"lilting, Alternative, melancholy, Indie Rock, acoustic",2008-09-30
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,4,0.9473856091499329,d394f114-b2a4-4fde-a97c-285b6db1facb,Light Goes Out,Ages and Ages,Divisionary,"indie folk, art folk, indie pop, Country, a long red glare, catchy, alternative",2014-03-25
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,5,0.947383463382721,369377b6-1852-4e2d-9a0a-85f206ef8050,Seagull,Saturday Sun,Seagull,"folk, Alternative, indie, Singer/Songwriter, Rock, acoustic, listened and said no thanks, so beautiful it will break your heart",2012-04-02
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,6,0.9468371868133545,1dba97ce-1ae2-4494-9af2-831e1e18d2e6,Parallel Lines,Dear and the Headlights,Drunk Like Bible Times,"songs that make me melt into water, romance, Alternative, indie, Indie Rock, sexy",2008-09-30
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,7,0.9467035531997681,2bcbf438-5b75-4382-9376-25b1d7434042,Wild West (Roadhouse Mix),Lissie,Wild West (Roadhouse Mix),"passionate, rock, atmospheric, poignant, searching, americana, reassuring, indie rock, twin peaks, Soundtracks, theatrical, reflective, alternative country-rock, earthy",2017-08-18
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,8,0.9465712308883667,62c155c5-5f72-411e-822f-0c20f4d2c97a,From the Mouth of an Injured Head,Radical Face,The Family Tree: The Branches,"folk, Alternative Rock, indie pop",2013-10-22
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,9,0.9458781480789185,305df087-3a8f-40d7-a0f0-0dfe934d6f6b,I Know,Blind Pilot,We Are the Tide,"folk, 2nd floor north, folk rock, indie, Pop, acoustic",2011-09-13
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,1,Rivers and Roads,The Head and the Heart,The Head and the Heart,"indie folk, acoustic, reflective, hopeful, Americana, introspective, warm",2011-04-16,10,0.9455381035804749,a28bf5c4-a8f3-40eb-86df-5e7667ed9b0e,Library Magic,"The Head And The Heart, The Head and the Heart","Signs of Light, Library Magic","Alternative Rock, Alternative",2016-09-09
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,1,0.9479540586471558,74a0ad55-0a86-40be-b100-406ddd32084a,The Devil's Dancers,Oppenheimer Analysis,New Mexico,"experimental, electronic, Electronic, avantgarde, Alternative, lo-fi",2010-09-22
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,2,0.9458130598068237,0720c5d8-e539-4156-906d-9a296523be99,Firelight,Young the Giant,Mind Over Matter,"late night, dreamy, ethereal, Alternative, acoustic",2014-01-17
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,3,0.9392595291137695,42b8358f-d3aa-4a7e-a784-dc863b11f6cb,Vainglory,Helios,Remembrance,"Electronic, Ambient, lounge, downtempo",2016-10-28
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,4,0.9383497834205627,0ed0c85f-6a40-490a-98cf-ae2fc9cda034,What Lies Beneath,Andy James,Andy James,"Metal, Electronic, instrumental, guitar virtuoso, progressive metal, Rock, eargasm",2011-07-11
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,5,0.9378471970558167,f2fbd0db-178f-4515-9eb6-c77f8d5d993b,Kaleidoscopic Lovers,The Avalanches,Wildflower,"pop, Electronic, plunderphonics, psychedelic, Alternative",2016-07-08
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,6,0.9360734820365906,9ce02e17-9310-41ff-b48e-6d0abdd3efdc,Saturday Night Inside Out,The Avalanches,Wildflower,"pop, Electronic, plunderphonics, psychedelic, Alternative",2016-07-08
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,7,0.9355358481407166,f1e09e64-49fd-4824-a82a-5ad07d70df90,Strength Through Fragility,Clark,Clark,"Alternative, Electronic, electronic superhighway",2014-11-03
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,8,0.9351263046264648,f37dc37d-40a9-4c64-bd4f-d357118d4644,Salamanders and Worms,Tides Of Man,Dreamhouse,"experimental, alternative rock, progressive rock, Alternative, indie, post-hardcore, Rock",2010-09-13
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,9,0.9348875284194946,6df1cbe6-c278-4020-ae40-dc86944dbf0b,Texas,Lights & Motion,Reanimation,"experimental, instrumental, Alternative, Rock, post-rock",2013-01-15
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,2,Holocene,Bon Iver,"Bon Iver, Bon Iver","folk, atmospheric, contemplative, acoustic guitar, introspective, melodic",2011-06-17,10,0.934730052947998,1a5deaef-ea38-44ba-b9d6-0f6a0428bf55,Sky Musings,Wolf Alice,Visions Of A Life,"rock, alternative rock, indie rock, Alternative, shoegaze",2017-09-29
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,3,The Stable Song,Gregory Alan Isakov,"That Sea, the Gambler","folk, Americana, soulful, acoustic, reflective, serene, singer-songwriter",2007-07-17,1,0.956757664680481,befbf90b-d6b9-4910-ad34-22aa40a2d747,Broken Tongue,Joshua James,My Spirit Sister,"folk, americana, music for a sad road movie, singer-songwriter, personal--loved, folk rock, Alternative, Singer/Songwriter",2017-04-07
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,3,The Stable Song,Gregory Alan Isakov,"That Sea, the Gambler","folk, Americana, soulful, acoustic, reflective, serene, singer-songwriter",2007-07-17,2,0.9565367698669434,2509ddb0-f09a-4096-83cd-ea26cbb6839b,I Got Loaded,The Wood Brothers,The Muse,"exuberant folk, bluegrass jam, folk, Blues, Singer/Songwriter, Rock",2013-01-01
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,3,The Stable Song,Gregory Alan Isakov,"That Sea, the Gambler","folk, Americana, soulful, acoustic, reflective, serene, singer-songwriter",2007-07-17,3,0.9546831846237183,ac15b6b0-acf5-4f57-991f-1124852e5cdb,The Whistler,The White Buffalo,"Shadows, Greys & Evil Ways","rock, folk, Country, Singer/Songwriter, Rock, reaper crew",2013-09-03
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,3,The Stable Song,Gregory Alan Isakov,"That Sea, the Gambler","folk, Americana, soulful, acoustic, reflective, serene, singer-songwriter",2007-07-17,4,0.9543139338493347,a1930e53-e85c-4420-90d5-e253d68322d8,Over and Done,the everybodyfields,Nothing Is Okay,"Singer/Songwriter, country, melancholic, folk rock",2007-08-21
02ec3071-bd03-4f78-91bc-96666d0e3b6b_turn_3.json,02ec3071-bd03-4f78-91bc-96666d0e3b6b,3,3,The Stable Song,Gregory Alan Isakov,"That Sea, the Gambler","folk, Americana, soulful, acoustic, reflective, serene, singer-songwriter",2007-07-17,5,0.9532878398895264,81e9b70d-5fa0-4f7a-9808-f9883b7e3718,The Forest,José González,Vestiges & Claws,"mellow, Alternative, Singer/Songwriter, Pop, eclectonia, Rock, acoustic",2015-02-17
